segment id,excitatory synapses,inhibitory synapses,cortical layer,cell type
39929077879,0,0,Layer 1,oligodendrocyte
41144874114,1,1,Layer 5,oligodendrocyte
29338346668,743,323,Layer 4,pyramidal neuron
28727643016,41,52,Layer 3,astrocyte
46054198181,355,160,Layer 2,interneuron
79222720290,0,0,White matter,oligodendrocyte
1288713754,4887,1536,Layer 3,pyramidal neuron
77264536108,26,6,Layer 4,astrocyte
22173795661,3,1,Layer 6,oligodendrocyte
68741569463,6,10,White matter,oligodendrocyte
32771814983,3,9,White matter,microglia/opc
80961773028,1,3,Layer 2,microglia/opc
33227906347,0,0,Layer 5,oligodendrocyte
46749015215,44,46,Layer 4,pyramidal neuron
77891604557,152,105,Layer 3,microglia/opc
6262793383,38,13,White matter,oligodendrocyte
46695400625,575,211,Layer 2,interneuron
32775727856,0,1,Layer 5,microglia/opc
6154016019,339,266,Layer 3,microglia/opc
8474772473,0,1,White matter,microglia/opc
6495344183,329,161,White matter,astrocyte
41665180661,1,1,White matter,microglia/opc
5579934214,1,2,Layer 6,microglia/opc
36447047759,3,4,Layer 1,astrocyte
56708226431,215,125,Layer 4,interneuron
42936299434,869,930,Layer 5,interneuron
38937774009,99,66,Layer 1,interneuron
55678724838,0,2,Layer 1,oligodendrocyte
5817287874,77,129,Layer 4,astrocyte
24175460012,0,0,Layer 3,oligodendrocyte
42053874747,20,24,Layer 2,unclassified neuron
78624460310,1,1,White matter,oligodendrocyte
4096034105,1,2,Layer 5,oligodendrocyte
27798218178,3590,1175,Layer 2,pyramidal neuron
11754726392,0,0,Layer 3,oligodendrocyte
50835399761,0,0,White matter,oligodendrocyte
7297084300,0,0,White matter,oligodendrocyte
74608073009,1285,631,Layer 6,unclassified neuron
2601738464,3244,1033,Layer 2,pyramidal neuron
2047688889,2,2,Layer 2,oligodendrocyte
25856022004,0,0,White matter,oligodendrocyte
5338330021,1840,960,Layer 3,interneuron
41111073912,0,0,White matter,oligodendrocyte
1316864327,3,22,Layer 3,pyramidal neuron
47365849004,317,251,Layer 1,interneuron
3491027398,222,119,Layer 2,interneuron
5976452832,991,346,Layer 4,interneuron
40762388389,2,2,White matter,oligodendrocyte
3620390960,955,482,Layer 3,interneuron
4633453115,4,1,Layer 5,oligodendrocyte
3399331857,1666,528,Layer 5,pyramidal neuron
43351803711,0,3,White matter,oligodendrocyte
18800584074,34,39,Layer 3,pyramidal neuron
46867034971,1,0,Layer 3,microglia/opc
4261754939,527,537,Layer 2,interneuron
32689844546,71,71,Layer 4,astrocyte
39928187768,465,217,Layer 2,pyramidal neuron
5811505898,0,0,White matter,oligodendrocyte
83067834538,0,3,Layer 5,oligodendrocyte
2369144469,400,221,Layer 2,interneuron
38936109019,544,422,Layer 2,interneuron
34300816991,58,39,White matter,astrocyte
28409431197,458,408,Layer 3,interneuron
4374533701,3876,946,Layer 5,interneuron
5005003829,112,126,Layer 2,interneuron
74729290725,0,0,Layer 4,oligodendrocyte
3038804907,3035,1298,Layer 2,pyramidal neuron
30888987305,1,1,Layer 1,astrocyte
36270710845,128,84,Layer 2,astrocyte
3644834400,0,2,Layer 5,microglia/opc
36868753644,276,257,Layer 2,interneuron
29528962741,0,0,Layer 3,microglia/opc
4808913797,3152,1035,Layer 6,pyramidal neuron
2062261179,2640,1006,Layer 2,pyramidal neuron
7443737058,583,213,White matter,astrocyte
57564282083,2,1,Layer 5,oligodendrocyte
5436507845,3830,1113,Layer 5,pyramidal neuron
28539934192,3777,936,Layer 3,pyramidal neuron
51229406374,0,0,White matter,microglia/opc
60050675502,0,0,White matter,oligodendrocyte
3779732804,4,2,Layer 3,oligodendrocyte
5614465260,93,100,Layer 3,astrocyte
6329972683,64,46,Layer 2,unclassified neuron
57802950981,10,19,Layer 3,microglia/opc
5895052505,55,18,Layer 1,oligodendrocyte
13964455673,1,3,Layer 6,oligodendrocyte
4182894498,3,2,Layer 5,microglia/opc
50534690178,0,0,Layer 5,oligodendrocyte
31606260343,0,0,Layer 6,oligodendrocyte
16688083217,0,0,Layer 6,oligodendrocyte
2616207315,3300,1105,Layer 2,pyramidal neuron
3023809310,1,8,Layer 2,microglia/opc
3996936917,0,1,Layer 3,oligodendrocyte
8634362788,0,0,White matter,oligodendrocyte
93472627018,4,1,White matter,oligodendrocyte
38136427325,33,51,Layer 2,astrocyte
48660286701,1,0,Layer 3,oligodendrocyte
77995300607,8,85,Layer 2,pyramidal neuron
69817213712,0,0,White matter,oligodendrocyte
43338048973,0,0,White matter,oligodendrocyte
4844290737,1899,597,Layer 3,pyramidal neuron
7223101622,0,0,White matter,oligodendrocyte
33287639092,3215,773,Layer 3,pyramidal neuron
6101058307,136,91,White matter,unclassified neuron
6978637614,1606,663,White matter,excitatory/spiny neuron with atypical tree
39636239897,1047,338,Layer 2,pyramidal neuron
52235182056,0,0,White matter,microglia/opc
1231931109,1049,401,Layer 2,pyramidal neuron
38509935088,4,10,Layer 4,c-shaped cell
3427263564,787,341,Layer 4,pyramidal neuron
47581214561,161,106,Layer 3,interneuron
84904247650,0,1,Layer 5,unknown cell
28160629767,5627,1292,Layer 3,pyramidal neuron
41423462263,16,40,Layer 5,microglia/opc
3558177721,387,114,Layer 5,pyramidal neuron
8082487226,0,0,White matter,oligodendrocyte
7774143091,0,1,White matter,oligodendrocyte
41795524418,0,0,White matter,oligodendrocyte
37101127877,1733,421,Layer 2,excitatory/spiny neuron with atypical tree
40812103644,17,21,Layer 4,astrocyte
7923029635,0,1,White matter,microglia/opc
3716977934,2,1,Layer 5,oligodendrocyte
1012141341,1013,398,Layer 2,pyramidal neuron
5820908266,316,191,Layer 2,interneuron
47069536808,147,89,Layer 4,interneuron
83608684953,2,1,Layer 4,oligodendrocyte
77040252166,4,1,White matter,oligodendrocyte
71365774952,396,124,Layer 3,excitatory/spiny neuron with atypical tree
5390718419,2979,977,Layer 5,pyramidal neuron
6119586713,23,20,Layer 6,blood vessel cell
2671063546,567,180,Layer 4,unclassified neuron
7181153235,33,6,White matter,microglia/opc
32749387382,0,0,Layer 3,oligodendrocyte
32955276981,11,41,Layer 2,interneuron
22839572089,5,6,Layer 1,oligodendrocyte
58378464336,0,0,Layer 6,oligodendrocyte
5055786972,1286,385,Layer 5,unclassified neuron
6756349963,0,0,White matter,oligodendrocyte
6908931346,1642,327,Layer 4,excitatory/spiny neuron with atypical tree
6032229032,1053,377,Layer 6,unclassified neuron
24951868648,0,0,White matter,oligodendrocyte
7604565986,246,170,White matter,pyramidal neuron
29191896161,0,7,Layer 4,unclassified neuron
86215708376,0,0,Layer 5,oligodendrocyte
1056383746,81,99,Layer 2,astrocyte
4886795168,2,1,Layer 3,oligodendrocyte
95472917766,1,0,Layer 5,oligodendrocyte
41108124795,2,0,Layer 1,unknown cell
42248564397,61,23,White matter,microglia/opc
41323883704,14,9,Layer 3,astrocyte
29224546135,513,165,Layer 3,interneuron
42044894677,3,0,White matter,oligodendrocyte
41614311204,2,1,Layer 3,microglia/opc
29556383352,807,325,Layer 4,pyramidal neuron
605037556,1528,792,Layer 2,pyramidal neuron
